1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
4,12,2,7,10,9,15,7,6,18,25,22,29,26,25,47,126,75,49,75,46,41,59,22,9
2,7,3,2,1,1,3,1,5,5,8,10,6,7,54,6,23,22,22,11,26,9,8,8,1
0,0,0,0,0,1,2,3,1,2,5,4,18,20,20,52,69,25,8,3,1,2,3,0,2
1,0,3,0,1,1,0,4,11,7,7,10,10,19,29,26,26,23,25,7,7,9,3,1,2
5,3,6,4,8,9,16,18,31,41,65,61,142,62,54,32,20,58,46,24,22,19,17,5,3
10,7,17,22,15,19,22,26,37,53,53,135,169,221,161,132,141,145,111,68,47,45,39,13,26
1,0,0,1,3,2,1,4,9,8,10,16,18,21,31,16,37,15,34,25,26,18,22,13,1
1,0,1,1,2,1,2,9,10,14,23,40,41,55,42,35,32,39,21,21,16,13,8,6,1
3,2,5,5,3,2,3,10,6,13,12,21,15,12,25,31,92,47,47,58,40,25,30,18,1
24,23,45,60,61,66,81,111,113,125,152,154,251,154,217,164,154,134,137,95,66,62,64,44,63
2,0,0,2,6,0,1,2,3,3,9,2,3,0,4,6,28,17,4,11,11,5,5,0,1
12,8,15,10,7,17,19,36,37,37,46,54,59,2,49,111,109,97,82,48,56,44,44,8,19
2,10,9,11,14,11,7,30,27,35,52,63,95,3,76,63,76,63,60,46,26,63,22,6,5
4,6,4,9,7,25,30,34,47,77,57,80,135,114,69,67,61,136,39,23,14,32,13,10,6
8,7,8,2,3,8,17,23,26,43,45,41,55,64,71,60,115,163,56,11,23,19,37,12,9
0,0,2,5,4,5,7,3,6,3,4,6,4,42,14,78,102,41,11,7,1,3,2,5,4
0,0,0,1,9,0,2,3,1,7,8,18,15,31,21,23,38,11,4,3,9,4,5,0,0
6,6,12,4,11,7,26,45,41,67,44,67,202,78,71,68,79,67,42,24,13,14,32,3,4
0,1,0,5,0,1,1,0,4,2,19,22,16,9,24,15,12,11,6,18,2,4,3,8,1
1,5,8,18,19,37,39,34,56,105,91,51,86,81,68,63,77,47,59,20,14,12,17,12,9
3,3,8,8,5,5,9,16,24,31,21,49,43,51,28,44,86,39,69,47,38,35,19,6,13
5,9,7,6,6,10,13,28,35,52,41,137,134,135,203,142,180,175,59,34,35,39,30,11,9
0,0,0,0,0,0,7,1,9,9,14,11,3,24,14,23,16,10,9,3,5,2,10,1,1
4,3,5,7,5,5,4,9,14,28,39,22,36,38,53,21,22,53,19,17,7,12,16,17,2
1,1,1,5,1,3,10,1,9,19,29,22,47,64,56,45,56,50,30,30,33,10,15,4,4
0,2,2,6,6,5,12,25,20,37,42,63,52,80,70,35,39,35,12,18,16,18,21,9,1
4,4,8,10,4,13,35,78,46,28,70,45,94,149,91,84,142,186,107,45,32,30,34,60,10
0,4,1,0,2,3,0,1,3,2,5,4,4,11,7,9,25,50,55,21,11,9,18,11,2
5,1,3,8,1,1,8,16,11,14,35,22,41,99,53,32,65,73,27,25,16,11,28,4,12
7,7,6,1,5,7,6,12,18,19,30,32,86,54,81,90,56,68,15,12,11,17,0,2,2
2,2,1,8,9,15,9,16,23,18,42,27,34,57,53,87,58,63,37,17,160,17,18,4,1
2,4,1,2,4,2,5,16,18,12,20,63,51,35,45,21,52,27,18,14,14,15,9,2,5
119,137,183,230,232,291,412,622,707,934,1123,1374,1994,1818,1879,1728,2214,2065,1320,881,844,658,651,325,229
